"","Student_Number","Student_Name","project"
"1",1,"Student 1","S Fellow Coffee"
"5",5,"Student 5","S Fellow Coffee"
"6",6,"Student 6","L American Eagle Outfitters"
"7",7,"Student 7","R UCDH Patient Video Visits"
"8",8,"Student 8","O Airtable"
"9",9,"Student 9","O Airtable"
"15",15,"Student 15","B Qualcomm Future of Computing"
"22",22,"Student 22","D Savvy Aviation"
"23",23,"Student 23","O Airtable"
"26",26,"Student 26","S Fellow Coffee"
"27",27,"Student 27","P ChargePoint"
"28",28,"Student 28","D Savvy Aviation"
"32",32,"Student 32","B Qualcomm Future of Computing"
"35",35,"Student 35","A Sprighub"
"36",36,"Student 36","P ChargePoint"
"40",40,"Student 40","L American Eagle Outfitters"
"42",42,"Student 42","B Qualcomm Future of Computing"
"43",43,"Student 43","O Airtable"
"48",48,"Student 48","A Sprighub"
"49",49,"Student 49","L American Eagle Outfitters"
"53",53,"Student 53","P ChargePoint"
"54",54,"Student 54","D Savvy Aviation"
"57",57,"Student 57","R UCDH Patient Video Visits"
"58",58,"Student 58","A Sprighub"
"59",59,"Student 59","B Qualcomm Future of Computing"
"61",61,"Student 61","T DHCS Data Governance"
"62",62,"Student 62","L American Eagle Outfitters"
"63",63,"Student 63","B Qualcomm Future of Computing"
"65",65,"Student 65","C Gain Credit"
"68",68,"Student 68","P ChargePoint"
"70",70,"Student 70","S Fellow Coffee"
"72",72,"Student 72","C Gain Credit"
"73",73,"Student 73","A Sprighub"
"74",74,"Student 74","C Gain Credit"
"75",75,"Student 75","T DHCS Data Governance"
"76",76,"Student 76","D Savvy Aviation"
"77",77,"Student 77","L American Eagle Outfitters"
"78",78,"Student 78","S Fellow Coffee"
"79",79,"Student 79","C Gain Credit"
"80",80,"Student 80","C Gain Credit"
"81",81,"Student 81","T DHCS Data Governance"
"83",83,"Student 83","T DHCS Data Governance"
"84",84,"Student 84","B Qualcomm Future of Computing"
"87",87,"Student 87","R UCDH Patient Video Visits"
"89",89,"Student 89","A Sprighub"
"95",95,"Student 95","R UCDH Patient Video Visits"
"96",96,"Student 96","S Fellow Coffee"
"98",98,"Student 98","T DHCS Data Governance"
"101",101,"Student 101","D Savvy Aviation"
