"","Student_Number","Student_Name","project"
"1",1,"Student 1","O Airtable"
"5",5,"Student 5","L American Eagle Outfitters"
"6",6,"Student 6","L American Eagle Outfitters"
"7",7,"Student 7","R UCDH Patient Video Visits"
"8",8,"Student 8","L American Eagle Outfitters"
"9",9,"Student 9","P ChargePoint"
"15",15,"Student 15","L American Eagle Outfitters"
"22",22,"Student 22","R UCDH Patient Video Visits"
"23",23,"Student 23","D Savvy Aviation"
"26",26,"Student 26","A Sprighub"
"27",27,"Student 27","O Airtable"
"28",28,"Student 28","C Gain Credit"
"32",32,"Student 32","O Airtable"
"35",35,"Student 35","O Airtable"
"36",36,"Student 36","R UCDH Patient Video Visits"
"40",40,"Student 40","D Savvy Aviation"
"42",42,"Student 42","C Gain Credit"
"43",43,"Student 43","L American Eagle Outfitters"
"48",48,"Student 48","S Fellow Coffee"
"49",49,"Student 49","P ChargePoint"
"53",53,"Student 53","R UCDH Patient Video Visits"
"54",54,"Student 54","A Sprighub"
"57",57,"Student 57","P ChargePoint"
"58",58,"Student 58","P ChargePoint"
"59",59,"Student 59","C Gain Credit"
"61",61,"Student 61","O Airtable"
"62",62,"Student 62","T DHCS Data Governance"
"63",63,"Student 63","S Fellow Coffee"
"65",65,"Student 65","A Sprighub"
"68",68,"Student 68","L American Eagle Outfitters"
"70",70,"Student 70","T DHCS Data Governance"
"72",72,"Student 72","B Qualcomm Future of Computing"
"73",73,"Student 73","A Sprighub"
"74",74,"Student 74","C Gain Credit"
"75",75,"Student 75","D Savvy Aviation"
"76",76,"Student 76","S Fellow Coffee"
"77",77,"Student 77","B Qualcomm Future of Computing"
"78",78,"Student 78","B Qualcomm Future of Computing"
"79",79,"Student 79","A Sprighub"
"80",80,"Student 80","A Sprighub"
"81",81,"Student 81","D Savvy Aviation"
"83",83,"Student 83","B Qualcomm Future of Computing"
"84",84,"Student 84","S Fellow Coffee"
"87",87,"Student 87","T DHCS Data Governance"
"89",89,"Student 89","T DHCS Data Governance"
"95",95,"Student 95","P ChargePoint"
"96",96,"Student 96","B Qualcomm Future of Computing"
"98",98,"Student 98","S Fellow Coffee"
"101",101,"Student 101","R UCDH Patient Video Visits"
